age,Nf,Lf,f
0,293395,497487,
5,248369,497138,
10,240012,496901,
15,261346,496531,0.012
20,285209,495902,0.0908
25,314388,495168,0.1499
30,281290,494213,0.1125
35,286923,492760,0.0441
40,304108,490447,0.0074
45,324946,486613,0.0003
50,247613,480665,
55,211351,471786,
60,215140,457852,
65,221764,436153,
70,223506,402775,
75,183654,350358,
80,141990,271512,
85,112424,291707,
