a,female,nLa,nma
0,56434924,460296,
5,52773383,447675,
10,50468624,443384,
15,48230021,439645,0.021330
20,45425472,434345,0.110570
25,42472357,428194,0.081720
30,37398622,421874,0.045040
35,31916023,415339,0.019520
40,27069131,407421,0.007060
45,22694692,396396,0.001810
50,18947315,383166,
55,15710909,369775,
60,12596802,349852,
65,9610482,289617,
70,6710329,246062,
75,4066285,168672,
80,1949375,89760,
85,645971,54684,
90,128744,18445,
95,13483,2994,
100,692,823,
