"fnu","area","region","comuna","sex","age","ses","phone","edu","pond","agecat","approval"
1861,1,13,13604,2,65,3,1,2,0.503,5,2
737,2,8,8203,1,62,4,2,2,1.447,5,2
447,1,6,6109,2,81,3,1,2,0.71,5,1
487,1,6,6303,1,50,4,2,2,0.973,4,2
47,1,1,1101,1,49,3,1,3,1.596,4,2
1340,1,13,13113,2,59,3,1,3,0.584,5,3
1022,2,10,10109,2,64,4,2,3,0.339,5,1
1250,1,13,13110,1,64,3,2,3,0.941,5,1
32,1,1,1101,1,46,3,2,4,1.585,4,2
1393,1,13,13115,2,67,4,2,2,0.838,5,1
1121,1,13,13101,1,66,3,2,4,0.24,5,1
53,1,2,2101,2,54,3,2,2,0.943,4,1
271,1,5,5108,1,25,2,1,4,2.025,2,2
572,2,7,7304,1,68,4,2,2,0.702,5,3
1522,1,13,13120,2,50,2,9,4,0.769,4,1
111,1,2,2301,1,47,5,2,2,0.402,4,2
1372,1,13,13114,1,35,1,9,4,2.741,3,2
976,2,14,14201,2,70,4,2,1,0.46,5,1
1034,2,10,10205,1,48,4,2,2,0.28,4,2
129,1,3,3101,2,69,3,1,2,0.748,5,1
237,1,5,5101,2,49,2,1,4,0.391,4,3
1719,1,13,13201,1,70,3,1,2,0.194,5,1
1011,2,10,10102,1,44,4,2,2,0.973,3,1
903,2,9,9112,2,52,4,2,2,0.683,4,2
368,2,5,5504,2,44,3,2,3,0.491,3,2
1865,1,13,13604,1,75,3,2,1,0.744,5,3
926,1,9,9203,1,67,4,2,2,0.915,5,3
1754,1,13,13201,2,24,3,1,4,0.723,1,2
1763,1,13,13201,2,81,4,2,1,0.289,5,2
1303,1,13,13112,2,58,3,1,2,0.95,5,3
80,1,2,2101,1,55,3,1,4,0.237,5,3
465,1,6,6117,2,69,4,2,2,0.107,5,2
63,1,2,2101,2,31,3,2,4,0.921,2,3
97,1,2,2201,2,76,3,1,3,0.891,5,1
906,2,9,9112,1,44,4,2,2,1.37,3,2
93,1,2,2102,1,49,3,1,3,1.698,4,3
1532,1,13,13121,2,56,4,1,2,1.072,5,2
1169,1,13,13104,2,55,4,1,2,1.599,5,1
3,1,15,15101,1,39,3,1,3,1.105,3,1
253,1,5,5106,1,51,3,1,4,3.092,4,3
1329,1,13,13113,2,68,1,1,4,0.69,5,2
521,1,7,7101,1,37,3,2,2,0.906,3,2
1778,1,13,13301,2,41,4,1,2,1.084,3,2
1474,1,13,13119,1,32,4,1,3,1.552,2,2
385,1,5,5602,1,64,3,2,3,0.599,5,1
426,1,6,6101,2,47,3,2,3,0.881,4,3
975,2,14,14201,1,48,4,2,1,1.573,4,1
